244110.36780, 3,   0.117,  9.740,  0.204, 4,   0.007,  0.031,  0.017
244110.37217, 3,   0.103,  9.744,  0.199, 4,   0.000,  0.036,  0.028
244110.37656, 3,   0.141,  9.677,  0.098, 4,  -0.006,  0.031,  0.022
244110.38096, 3,   0.180,  9.644,  0.146, 4,   0.006,  0.029,  0.026
244110.38532, 3,   0.194,  9.735,  0.041, 4,   0.000,  0.023,  0.027
244110.38971, 3,   0.165,  9.711,  0.093, 4,   0.012,  0.020,  0.023
244110.39408, 3,   0.304,  9.697,  0.074, 4,  -0.013,  0.004,  0.027
244110.39847, 3,   0.304,  9.663,  0.103, 4,  -0.015, -0.027,  0.019
244110.40284, 3,   0.151,  9.778, -0.002, 4,  -0.019, -0.024,  0.028
244110.40723, 3,   0.113,  9.759,  0.136, 4,  -0.038, -0.020,  0.024
244110.41163, 3,   0.026,  9.859,  0.127, 4,  -0.028,  0.017,  0.026
244110.41599, 3,   0.098,  9.754,  0.136, 4,  -0.027,  0.049,  0.006
244110.42038, 3,  -0.079,  9.740,  0.218, 4,  -0.026,  0.084,  0.005
244110.42475, 3,   0.002,  9.754,  0.271, 4,  -0.044,  0.115,  0.011
244110.42914, 3,   0.031,  9.835,  0.357, 4,  -0.027,  0.130,  0.021
244110.43354, 3,   0.055,  9.802,  0.357, 4,  -0.046,  0.121,  0.020
244110.43790, 3,  -0.031,  9.859,  0.294, 4,  -0.030,  0.120,  0.036
244110.44230, 3,   0.089,  9.831,  0.433, 4,  -0.031,  0.066,  0.047
244110.44666, 3,   0.089,  9.859,  0.385, 4,  -0.024,  0.002,  0.069
244110.45105, 3,   0.113,  9.907,  0.438, 4,  -0.024, -0.048,  0.069
244110.45542, 3,   0.156,  9.754,  0.452, 4,  -0.029, -0.066,  0.058
244110.45981, 3,   0.199,  9.826,  0.160, 4,  -0.021, -0.099,  0.068
244110.46421, 3,   0.194,  9.936,  0.299, 4,  -0.026, -0.127,  0.052
244110.46857, 3,   0.275,  9.807,  0.318, 4,  -0.015, -0.105,  0.043
244110.47297, 3,   0.136,  9.965,  0.366, 4,  -0.049, -0.080,  0.052
244110.47733, 3,   0.089,  9.898,  0.204, 4,  -0.052, -0.052,  0.019
244110.48172, 3,   0.117,  9.859,  0.223, 4,  -0.065, -0.020,  0.017
244110.48612, 3,   0.022,  9.888,  0.266, 4,  -0.079,  0.015, -0.002
244110.49048, 3,   0.108,  9.950,  0.452, 4,  -0.050,  0.042, -0.001
244110.49488, 3,   0.045,  9.845,  0.496, 4,  -0.062,  0.042,  0.010
244110.49924, 3,   0.026,  9.706,  0.342, 4,  -0.056,  0.063, -0.004
244110.50364, 3,  -0.041,  9.792,  0.481, 4,  -0.060,  0.037, -0.002
244110.50800, 3,  -0.002,  9.787,  0.572, 4,  -0.049,  0.019,  0.013
244110.51239, 3,  -0.065,  9.835,  0.663, 4,  -0.054, -0.026,  0.007
244110.51679, 3,   0.041,  9.687,  0.601, 4,  -0.071, -0.038,  0.030
244110.52115, 3,   0.084,  9.754,  0.639, 4,  -0.070, -0.070,  0.040
244110.52555, 3,   0.218,  9.855,  0.424, 4,  -0.053, -0.055,  0.033
244110.52991, 3,   0.165,  9.720,  0.496, 4,  -0.056, -0.088,  0.014, 5,  14.113,-46.510,  0.612
244110.53431, 3,   0.266,  9.816,  0.510, 4,  -0.076, -0.071, -0.001
244110.53870, 3,   0.261,  9.764,  0.510, 4,  -0.046, -0.064, -0.059
244110.54306, 3,   0.060,  9.749,  0.601, 4,  -0.013, -0.054, -0.089
244110.54746, 3,   0.055,  9.744,  0.491, 4,   0.003, -0.020, -0.144
244110.55182, 3,   0.089,  9.773,  0.553, 4,   0.043,  0.031, -0.191
244110.55622, 3,  -0.041,  9.955,  0.505, 4,   0.075,  0.070, -0.240
244110.56061, 3,  -0.113, 10.056,  0.232, 4,   0.087,  0.101, -0.291
244110.56498, 3,  -0.237, 10.080,  0.419, 4,   0.119,  0.117, -0.334
244110.56937, 3,  -0.414, 10.060,  0.275, 4,   0.156,  0.108, -0.341
244110.57374, 3,  -0.620,  9.989,  0.170, 4,   0.187,  0.100, -0.352
244110.57813, 3,  -0.860, 10.013,  0.093, 4,   0.201,  0.125, -0.348
244110.58249, 3,  -0.850,  9.840,  0.084, 4,   0.233,  0.112, -0.325
244110.58689, 3,  -1.056,  9.922,  0.084, 4,   0.261,  0.114, -0.304
244110.59128, 3,  -1.065,  9.821, -0.069, 4,   0.259,  0.126, -0.274
244110.59565, 3,  -1.075,  9.802, -0.055, 4,   0.259,  0.126, -0.221
244110.60004, 3,  -1.065,  9.989, -0.199, 4,   0.235,  0.089, -0.195
244110.60441, 3,  -1.003,  9.845, -0.294, 4,   0.216,  0.083, -0.127
244110.60880, 3,  -1.027,  9.787, -0.309, 4,   0.190,  0.018, -0.095
244110.61319, 3,  -0.965,  9.878, -0.376, 4,   0.143,  0.012, -0.040
244110.61756, 3,  -0.984,  9.850, -0.448, 4,   0.093, -0.014, -0.002
244110.62195, 3,  -0.802,  9.826, -0.539, 4,   0.064, -0.035,  0.050
244110.62632, 3,  -0.725,  9.811, -0.457, 4,   0.011, -0.060,  0.094
244110.63071, 3,  -0.515,  9.735, -0.510, 4,  -0.044, -0.068,  0.143
244110.63508, 3,  -0.529,  9.855, -0.409, 4,  -0.094, -0.063,  0.174
244110.63947, 3,  -0.352,  9.802, -0.467, 4,  -0.142, -0.088,  0.205
244110.64386, 3,  -0.285,  9.653, -0.486, 4,  -0.189, -0.109,  0.233
244110.64823, 3,  -0.156,  9.692, -0.347, 4,  -0.222, -0.107,  0.248
244110.65262, 3,  -0.098,  9.668, -0.275, 4,  -0.268, -0.136,  0.268
244110.65699, 3,   0.103,  9.591, -0.069, 4,  -0.283, -0.132,  0.272
244110.66138, 3,   0.108,  9.438, -0.002, 4,  -0.305, -0.142,  0.290
244110.66578, 3,   0.294,  9.448, -0.084, 4,  -0.315, -0.165,  0.267
244110.67014, 3,   0.333,  9.448,  0.074, 4,  -0.311, -0.140,  0.272
244110.67453, 3,   0.424,  9.515,  0.151, 4,  -0.304, -0.152,  0.254
244110.67890, 3,   0.520,  9.553,  0.251, 4,  -0.274, -0.108,  0.217
244110.68329, 3,   0.615,  9.476,  0.213, 4,  -0.265, -0.108,  0.187
