244410.94339, 3,  -0.120,  9.412,  2.184, 4,   0.049, -0.017, -0.061
244410.94778, 3,  -0.101,  9.407,  2.380, 4,   0.049, -0.023, -0.051
244410.95218, 3,  -0.158,  9.503,  2.313, 4,   0.033, -0.020, -0.069
244410.95654, 3,  -0.144,  9.416,  2.025, 4,   0.044, -0.030, -0.058
244410.96094, 3,  -0.129,  9.431,  2.322, 4,   0.030, -0.043, -0.053
244410.96533, 3,  -0.206,  9.527,  2.456, 4,   0.040, -0.036, -0.063
244410.96970, 3,  -0.134,  9.450,  2.308, 4,   0.028, -0.033, -0.069
244410.97409, 3,  -0.206,  9.661,  2.404, 4,   0.023, -0.027, -0.062
244410.97849, 3,  -0.110,  9.598,  2.322, 4,   0.045, -0.020, -0.058
244410.98285, 3,  -0.081,  9.464,  2.318, 4,   0.038, -0.028, -0.053
244410.98724, 3,  -0.096,  9.522,  2.404, 4,   0.042, -0.022, -0.048
244410.99164, 3,  -0.168,  9.412,  2.322, 4,   0.016, -0.027, -0.034
244410.99600, 3,  -0.034,  9.498,  2.409, 4,   0.034, -0.021, -0.027
244411.00040, 3,  -0.005,  9.507,  2.351, 4,   0.013, -0.014, -0.012
244411.00479, 3,  -0.010,  9.354,  2.279, 4,   0.032,  0.000, -0.005
244411.00916, 3,  -0.139,  9.345,  2.380, 4,   0.030,  0.000, -0.007
244411.01355, 3,  -0.005,  9.436,  2.404, 4,   0.029, -0.017, -0.004
244411.01794, 3,  -0.091,  9.541,  2.318, 4,   0.034,  0.011,  0.010
244411.02231, 3,   0.014,  9.512,  2.337, 4,   0.017,  0.015,  0.019
244411.02670, 3,  -0.029,  9.546,  2.428, 4,   0.018,  0.026,  0.030
244411.03110, 3,  -0.067,  9.464,  2.313, 4,   0.011,  0.021,  0.030
244411.03546, 3,   0.077,  9.464,  2.327, 4,   0.023,  0.018,  0.017
244411.03986, 3,  -0.101,  9.469,  2.385, 4,   0.013,  0.026,  0.009
244411.04425, 3,  -0.010,  9.507,  2.485, 4,   0.021,  0.035,  0.017
244411.04861, 3,  -0.182,  9.445,  2.351, 4,   0.007,  0.031,  0.019
244411.05301, 3,  -0.163,  9.536,  2.370, 4,  -0.004,  0.049,  0.014
244411.05740, 3,  -0.105,  9.579,  2.294, 4,  -0.009,  0.048,  0.010
244411.06177, 3,  -0.268,  9.536,  2.399, 4,  -0.013,  0.051,  0.035
244411.06616, 3,  -0.177,  9.402,  2.361, 4,  -0.007,  0.051,  0.022
244411.07056, 3,  -0.134,  9.589,  2.265, 4,  -0.010,  0.034,  0.014
244411.07492, 3,  -0.244,  9.436,  2.318, 4,  -0.006,  0.031,  0.021
244411.07932, 3,  -0.330,  9.469,  2.160, 4,  -0.027,  0.018,  0.027
244411.08368, 3,  -0.359,  9.479,  2.528, 4,  -0.021,  0.020,  0.013
244411.08807, 3,  -0.259,  9.507,  2.342, 4,  -0.001,  0.028,  0.020
244411.09247, 3,  -0.306,  9.507,  2.356, 4,  -0.005,  0.014,  0.014, 5,  15.154,-43.307, -8.290
244411.09683, 3,  -0.225,  9.488,  2.495, 4,  -0.030,  0.010,  0.014
244411.10123, 3,  -0.263,  9.407,  2.471, 4,  -0.007,  0.012,  0.014
244411.10562, 3,  -0.148,  9.493,  2.432, 4,  -0.022,  0.014, -0.001
244411.10999, 3,  -0.206,  9.536,  2.538, 4,  -0.017,  0.029, -0.012
244411.11438, 3,  -0.273,  9.637,  2.442, 4,  -0.014,  0.012, -0.021
244411.11877, 3,  -0.206,  9.656,  2.337, 4,   0.001,  0.009, -0.020
244411.12314, 3,  -0.105,  9.627,  2.370, 4,   0.001,  0.006, -0.028
244411.12753, 3,  -0.120,  9.555,  2.485, 4,   0.006, -0.004, -0.039
244411.13193, 3,  -0.086,  9.488,  2.557, 4,   0.007, -0.004, -0.044
244411.13629, 3,  -0.115,  9.407,  2.409, 4,   0.004,  0.002, -0.038
244411.14069, 3,   0.010,  9.421,  2.399, 4,  -0.005,  0.000, -0.044
244411.14508, 3,  -0.081,  9.325,  2.342, 4,   0.006,  0.013, -0.022
244411.14944, 3,  -0.134,  9.407,  2.476, 4,  -0.004, -0.002, -0.027
244411.15384, 3,  -0.010,  9.426,  2.519, 4,   0.005,  0.009, -0.023
244411.15823, 3,  -0.187,  9.397,  2.413, 4,   0.000,  0.016, -0.002
244411.16260, 3,  -0.297,  9.469,  2.356, 4,   0.020,  0.004, -0.009
244411.16699, 3,  -0.326,  9.570,  2.514, 4,   0.012,  0.028, -0.003
244411.17139, 3,  -0.311,  9.622,  2.476, 4,   0.025,  0.010,  0.014
244411.17575, 3,  -0.153,  9.541,  2.509, 4,   0.060,  0.019,  0.003
244411.18015, 3,  -0.268,  9.661,  2.485, 4,   0.051,  0.022,  0.004
244411.18454, 3,  -0.278,  9.737,  2.332, 4,   0.068,  0.025, -0.001
244411.18890, 3,  -0.378,  9.761,  2.380, 4,   0.089,  0.017,  0.004
244411.19330, 3,  -0.283,  9.598,  2.500, 4,   0.095,  0.011, -0.024
244411.19769, 3,  -0.235,  9.503,  2.437, 4,   0.111, -0.018, -0.029
244411.20206, 3,  -0.306,  9.469,  2.298, 4,   0.125, -0.026, -0.048
244411.20645, 3,  -0.421,  9.565,  2.490, 4,   0.122, -0.013, -0.054
244411.21085, 3,  -0.402,  9.455,  2.289, 4,   0.114, -0.017, -0.069
244411.21521, 3,  -0.393,  9.488,  2.447, 4,   0.114, -0.017, -0.075
244411.21960, 3,  -0.297,  9.560,  2.533, 4,   0.110, -0.027, -0.067
244411.22400, 3,  -0.196,  9.522,  2.318, 4,   0.129, -0.036, -0.072
244411.22836, 3,  -0.129,  9.613,  2.332, 4,   0.127, -0.022, -0.045
244411.23276, 3,  -0.278,  9.632,  2.500, 4,   0.118, -0.016, -0.039
244411.23715, 3,  -0.230,  9.622,  2.294, 4,   0.117, -0.040, -0.030
244411.24152, 3,  -0.105,  9.685,  2.385, 4,   0.119, -0.032, -0.012
