244539.66225, 3,   0.139,  9.783,  0.915, 4,  -0.010,  0.001,  0.043
244539.66664, 3,   0.215,  9.831,  1.010, 4,  -0.015,  0.016,  0.051
244539.67104, 3,   0.172,  9.682,  0.824, 4,  -0.026,  0.034,  0.051
244539.67543, 3,   0.182,  9.687,  0.852, 4,  -0.033,  0.038,  0.053
244539.67983, 3,   0.316,  9.730,  0.828, 4,  -0.033,  0.035,  0.067
244539.68419, 3,   0.134,  9.845,  0.910, 4,  -0.045,  0.034,  0.073
244539.68858, 3,   0.192,  9.792,  0.924, 4,  -0.036,  0.028,  0.071
244539.69298, 3,   0.239,  9.701,  1.049, 4,  -0.052,  0.039,  0.082
244539.69737, 3,   0.124,  9.764,  1.034, 4,  -0.056,  0.040,  0.080
244539.70177, 3,   0.163,  9.878,  1.173, 4,  -0.063,  0.044,  0.097
244539.70616, 3,   0.278,  9.965,  1.130, 4,  -0.056,  0.068,  0.089
244539.71053, 3,   0.249,  9.984,  1.226, 4,  -0.070,  0.111,  0.099
244539.71492, 3,   0.254,  9.979,  1.154, 4,  -0.062,  0.156,  0.095
244539.71932, 3,   0.306,  9.850,  1.168, 4,  -0.077,  0.184,  0.085
244539.72371, 3,   0.244,  9.802,  0.967, 4,  -0.079,  0.210,  0.111
244539.72810, 3,   0.297,  9.787,  1.020, 4,  -0.107,  0.201,  0.095
244539.73250, 3,   0.383,  9.835,  0.967, 4,  -0.114,  0.240,  0.101
244539.73686, 3,   0.321,  9.778,  1.006, 4,  -0.109,  0.219,  0.081
244539.74126, 3,   0.330,  9.783,  1.015, 4,  -0.111,  0.199,  0.088
244539.74565, 3,   0.354,  9.883,  0.910, 4,  -0.110,  0.189,  0.068
244539.75005, 3,   0.292,  9.831,  1.001, 4,  -0.109,  0.172,  0.059
244539.75444, 3,   0.249,  9.787,  0.886, 4,  -0.105,  0.150,  0.050
244539.75881, 3,   0.263,  9.764,  0.967, 4,  -0.092,  0.124,  0.040
244539.76320, 3,   0.378,  9.955,  0.929, 4,  -0.078,  0.094,  0.044
244539.76759, 3,   0.378,  9.969,  0.953, 4,  -0.062,  0.070,  0.045
244539.77199, 3,   0.340,  9.740,  1.020, 4,  -0.051,  0.054,  0.052
244539.77638, 3,   0.354,  9.720,  0.838, 4,  -0.028,  0.049,  0.055
244539.78078, 3,   0.383,  9.816,  0.809, 4,  -0.034,  0.031,  0.022
244539.78514, 3,   0.484,  9.960,  1.053, 4,  -0.001,  0.007,  0.019
244539.78954, 3,   0.268,  9.764,  0.876, 4,   0.014, -0.019,  0.012
244539.79393, 3,   0.484,  9.792,  1.058, 4,   0.000, -0.003, -0.002
244539.79833, 3,   0.412,  9.831,  0.977, 4,   0.033, -0.026, -0.009
